Key,Type,Source,ko,en,es,zh-cn,zh-tw
ToolTip_candy_dsc,,,플레이어가 보유한 재화입니다.\n몬스터 조합과 연구에 사용됩니다.,"A glittering currency, used for monster combination and research.",Una moneda brillante. Sirve para la combinación e investigación de monstruos.,玩家持有的货币。\n可用于怪物的组合和研究。,玩家持有的貨幣。\n用於組合怪物和研究。
ToolTip_monsterCount_dsc,,,농장에 배치된 몬스터의 수를 의미합니다.,The number of monsters placed on the farm.,El número de monstruos colocados en la granja.,表示部署在农场的怪物数量。,表示配置於農場的怪物數量。
ToolTip_itemQuantity_dsc,,,플레이어가 보유한 아이템의 개수를 의미합니다.,The number of items you own.,El número de artículos que posees.,表示玩家持有的道具数量。,表示玩家持有的道具數量。
ToolTip_myCon_dsc,,,농장을 대표하는 아이콘입니다.,An icon that represents your farm.,Un ícono que representa a tu granja.,代表农场的图标。,代表農場的圖示。
ToolTip_farmLevel_dsc,,,내 농장의 현재 레벨입니다.,Your farm's current level.,Nivel actual de tu granja.,我的农场的当前等级。,我的農場的目前等級。
ToolTip_reputation_dsc,,,플레이어의 명성입니다.,Your player reputation.,Tu reputación de jugador.,玩家的声望。,玩家的名聲。
ToolTip_monsterGeneration_dsc,,,몬스터의 세대입니다.\n희귀한 정도를 의미합니다.,The generation of a monster.\nBasically their rarity.,"La generación de un monstruo.\nBásicamente, es su rareza.",怪物的世代。\n表示稀有程度。,怪物的世代。\n表示稀有的程度。
ToolTip_monsterGrade_dsc,,,"몬스터의 등급입니다.\n높을수록 아이템, 재화 생산량이 증가합니다.","The monster's rank.\nThe higher it is, the more items and currency they make.","El rango del monstruo.\nEntre más alto sea, más artículos y monedas produce.",怪物的级别。\n怪物级别提升时，可增加道具和货币的生产量。,怪物的等級。\n等級愈高，將增加道具、貨幣生產量。
ToolTip_monsterLevel_dsc,,,몬스터의 현재 레벨입니다.\n높을수록 재화 생산량이 증가합니다.,"The monster's current level.\nThe higher it is, the more items and currency they make.","El nivel actual del monstruo.\nEntre más alto sea, más artículos y monedas produce.",怪物的当前等级。\n怪物等级提升时，可增加货币生产量。,怪物目前的等級。\n等級愈高，將增加貨幣的生產量。
ToolTip_monsterPersonality_dsc,,,몬스터의 성격입니다.\n동일한 성격의 몬스터를 배치하면 농장의 생산량이 증가합니다.,The monster's nature.\nPlacing monster with the same personalities will increase production.,La naturaleza del monstruo.\nColocar monstruos que tengan la misma personalidad aumentará la producción.,怪物的性格。\n部署性格相同的怪物时，可增加农场生产量。,怪物的個性。\n若配置相同個性的怪物，將增加農場的生產量。
ToolTip_monsterSkill_dsc,,,몬스터의 고유 능력입니다.\n5세대 몬스터만 보유할 수 있습니다.,The unique ability of the monster.\nOnly 5th generation monsters have this.,La habilidad única del monstruo.\nSolo la quinta generación de monstruos la poseen.,怪物的独有能力。\n只有5代怪物持有独有能力。,怪物的專屬能力。\n只有5世代怪物才可持有。
ToolTip_mascot_dsc,,,농장을 대표하는 몬스터로 설정합니다.,This is the monster you chose to represent the farm.,Es el monstruo que eliges para representar a la granja.,将其设为代表农场的怪物。,設定代表農場的怪物。
ToolTip_gradePercent_dsc,,,"표시된 확률에 따라 몬스터의 등급이 상승 / 하락합니다.\n등급 상승 실패 시, 등급 하락 확률이 적용됩니다.","This is the chance for a monster's rank to go up or down.\nIf it doesn't go up, there's a chance it'll go down!","Es la probabilidad de que el rango de un monstruo suba o baje.\n¡Si no sube, hay una probabilidad de que baje!",根据显示的概率提升/降低怪物的级别。\n级别提升失败时，应用级别降低概率。,根據顯示的機率，怪物的等級將會提升/下降。\n提升等級失敗時，將套用等級下降機率。
ToolTip_sellSingleOn_dsc,,,"활성화 시, 클릭한 아이템을 낱개로 올립니다.\n비활성화 시, 클릭한 아이템을 모두 올립니다.","Sells chosen items individually when activated.\nWhen disabled, sells all of the chosen item.","Al activarse, vende artículos elegidos de forma individual.\nAl desactivarse, vende todos los artículos elegidos.",激活时，可按单件放置点击道具。\n禁用时，可放置所有数量的点击道具。,開啟功能時，點擊道具時，將放入單個道具。\n關閉功能時，點擊道具時，將放入全部道具。
ToolTip_anticipationResult_dsc,,,"요리 완료 시, 하단에 표시된 아이템 중 하나를 확률에 따라 획득합니다.","When cooking is complete, there's a chance of getting one of the items shown below.","Cuando termines de cocinar, hay una probabilidad de obtener uno de los artículos a continuación.",完成料理后，可根据概率获得底部显示的道具之一。,料理完成時，將根據機率獲得下方顯示的其中一種道具。
ToolTip_pot_dsc,,,플레이어가 보유한 솥입니다.\n채울수록 더 높은 등급의 요리를 얻게 됩니다.,"A pot owned by the player.\nThe more you fill it, the higher the rank of food you get.","Una olla propiedad del jugador.\nEntre más la llenes, más alto será el rango de la comida que obtengas.",玩家持有的锅。\n填入更多时，可获得更高级别的料理。,玩家持有的鍋子。\n愈滿就能獲得愈高等級的料理。
ToolTip_tool_dsc,,,요리에 도움을 주는 아이템입니다.\n고유한 효과를 지니고 있습니다.,An item that helps with cooking.\nEach has a unique effect.,Un artículo que te ayuda a cocinar.\nCada uno tiene un efecto único.,对料理有帮助的道具。\n具有独有效果。,能幫助料理的道具。\n擁有專屬的效果。
ToolTip_studyGrade_dsc,,,몬스터의 등급을 올립니다.,Increases the rank of a monster.,Aumenta el rango de un monstruo.,提升怪物的级别。,提升怪物的等級。
ToolTip_studyPersonality_dsc,,,몬스터의 성격을 무작위로 변경합니다.,Randomly changes a monster's personality.,Cambia aleatoriamente la personalidad de un monstruo.,随机变更怪物的性格。,隨機變更怪物的個性。
ToolTip_studySkill_dsc,,,몬스터의 스킬을 무작위로 변경합니다.,Randomly changes a monster's skill.,Cambia aleatoriamente la habilidad de un monstruo.,随机变更怪物的技能。,隨機變更怪物的技能。
ToolTip_studyGrade2_dsc,,,3세대 몬스터부터 가능합니다.,Available from 3rd generation monsters and up.,Disponible a partir de la tercera generación de monstruos.,支持3代或以上怪物。,3世代以上的怪物才可進行。
ToolTip_studyPersonality2_dsc,,,3세대 몬스터부터 가능합니다.,Available from 3rd generation monsters and up.,Disponible a partir de la tercera generación de monstruos.,支持3代或以上怪物。,3世代以上的怪物才可進行。
ToolTip_studySkill2_dsc,,,5세대 몬스터만 가능합니다.,Only available for 5th generation monsters.,Solo disponible para la quinta generación de monstruos.,仅支持5代怪物。,5世代以上的怪物才可進行。
ToolTip_autoPlaceOn_dsc,,,"활성화 시, 구매한 몬스터를 농장에 바로 소환합니다.\n비활성화 시, 몬스터를 구매만 합니다.","Summons purchased monsters to the farm immediately when activated.\nWhen disabled, you'll have to summon them yourself.","Invoca monstruos comprados para la granja inmediatamente tras activarse.\nAl desactivarse, tendrás que invocarlos por tu cuenta.",激活时，将购买的怪物立即召唤到农场。\n禁用时，仅进行购买怪物操作。,開啟功能時，購買的怪物將立即召喚至農場。\n關閉功能時，只會購買怪物，不進行配置。
Monster_name_1,,,푸리,Puri,Puri,普利,普里
Monster_name_2,,,별이,Starry,Starry,小星,小星
Monster_name_3,,,핍,Pip,Pip,费浦,畢
Monster_name_4,,,라라,Lara,Lara,拉拉,菈菈
Monster_name_5,,,꼬미,Komi,Komi,果美,高彌
Monster_name_6,,,풀푸리,Pulpuri,Pulpuri,普尔丽,青草普里
Monster_name_7,,,앵글독,Madog,Madog,气气狗,安格狗
Monster_name_8,,,별가리,Starfish,Estrella de mar,星嘉利,星怪
Monster_name_9,,,리라,Lira,Lira,莉拉,里拉
Monster_name_10,,,꼬미꼬,Komiko,Komiko,柯米克,咕米咕
Monster_name_11,,,뽀미,Pomi,Pomi,泊美,波美
Monster_name_12,,,화난 별,Angry Star,Estrella enojada,怒小星,怒火星
Monster_name_13,,,펀치냥,Punchcat,Gatopuño,锤锤喵,拳擊喵
Monster_name_14,,,미니,Mini,Mini,米妮,咪尼
Monster_name_15,,,까미,Kami,Kami,佳弥,烏美
Monster_name_16,,,모모,Momo,Momo,毛毛,姆姆
Monster_name_17,,,뱀뱀,Snakey,Snakey,小蛇,斑斑
Monster_name_18,,,보나파,Bonapa,Bonapa,博纳帕,寶納帕
Monster_name_19,,,액체괴물,Liquid Monster,Monstruo líquido,粘液怪,史萊姆
Monster_name_20,,,아루,Aru,Aru,阿鲁,亞魯
Monster_name_21,,,포니,Poni,Poni,宝尼,波尼
Monster_name_22,,,글라스독,Glassdog,Lenteperro,格莱斯德,格拉斯狗
Monster_name_23,,,별별가리,Starstarfish,Estrella de marmar,星星嘉利,星星怪
Monster_name_24,,,별파리,Star Fly,Moscostrella,星蝇,星光飛蟲
Monster_name_25,,,두리두,Duridoo,Duridoo,杜里杜,多利多
Monster_name_26,,,뽐뽀미,Pompomi,Pompomi,鲍鲍弥,波波米
Monster_name_27,,,픽시,Pixie,Pixie,费西,皮嘻
Monster_name_28,,,펀치냐옹,Punchmeow,Puñomiau,斗斗喵,拳手喵喵
Monster_name_29,,,다라미,Darami,Darami,朵拉梅,松菈米
Monster_name_30,,,모비커,Mobiker,Mobiker,莫比克,墨比可
Monster_name_31,,,무무,Mumu,Mumu,木木,木木
Monster_name_32,,,스네코,Sneko,Sneko,斯内克,蛇奈克
Monster_name_33,,,스쿠파,Scoopa,Scoopa,司库帕,史庫帕
Monster_name_34,,,플라이,Fly,Mosco,飞飞,小飛
Monster_name_35,,,아루퀸,Aruqueen,Arurreina,鲁奎恩,亞魯女王
Monster_name_36,,,스테이코,Steako,Steako,斯特考,肉肉可
Monster_name_37,,,뿌나,Puna,Puna,布娜,噗娜
Monster_name_38,,,물모리,Mulmori,Mulmori,沫沫丽,水森
Monster_name_39,,,검무,Geommu,Geommu,玄武,劍舞
Monster_name_40,,,롱뇽 ,Salamander,Salamandra,龙蜥 ,隆龍 
Monster_name_41,,,다크아이,Dark Eye,Ojoscuro,墨眼,黑眼
Monster_name_42,,,파랑새,Blue Bird,Pájaro azul,蓝鸟,青鳥
Monster_name_43,,,잎새 여우,Wildwood Fox,Zorro lignario,叶狐,葉狐
Monster_name_44,,,랑이,Tyger,Tiger,小虎,小蘭
Monster_name_45,,,도치,Hedgie,Hedgie,小猬,刺蝟
Monster_name_46,,,스푸쿠,Crudling,Crudling,思普库,幽靈寶
Monster_name_47,,,네모 개굴,Square Frog,Rana cuadrada,方蛙,四角蛙
Monster_name_48,,,덕구,Ducku,Ducku,德古,德九
Monster_name_49,,,북이,Torto,Torto,小龟,小鼓
Monster_name_50,,,타이모,Taimo,Taimo,泰茂,塔伊摩
Monster_name_51,,,아기토끼,Baby Bunny,Gazapo,小兔,寶貝兔
Monster_name_52,,,미르,Mir,Mir,米尔,寶貝龍
Monster_name_53,,,파이어 루니,Fire Runi,Runi ígneo,火鲁尼,火魯尼
Monster_name_54,,,파투스,Patus,Patus,帕图思,帕圖斯
Monster_name_55,,,동그리,Roundy,Redondis,小圆,小圓圓
Monster_name_56,,,토리,Tori,Tori,图里,托利
Monster_name_57,,,와일드,Wild,Silvestre,瓦尔德,狂野
Monster_name_58,,,아이스,Ice,Hielo,冰清,冰晶
Monster_name_59,,,라바,Lava,Lava,拉瓦,幼蟲
Monster_name_60,,,유우,Yuu,Yuu,尤乌,優烏
Monster_name_61,,,페루니,Peruni,Peruni,佩卢尼,費魯尼
Monster_name_62,,,키드 발록,Kid Balrog,Balrog peque,小瓦洛,小巴洛古
Monster_name_63,,,연두콩,Green Bean,Frijoverde,绿豆,小嫩豆
Monster_name_64,,,우파루,Uparu,Uparu,乌法鲁,烏巴魯
Monster_name_65,,,세모리,Hidula,Hidula,塞莫利,世毛利
Monster_name_66,,,사미호,Four-Tailed Fox,Zorro de cuatro colas,四尾狐,史美狐
Monster_name_67,,,빨강 머리,Redmane,Melenarroja,赤首,紅毛
Monster_name_68,,,새싹 두더지,Sprout Mole,Topobrote,萌鼹鼠,新芽鼴鼠
Monster_name_69,,,망또,Shroud,Manto,斗篷,斗篷怪
Monster_name_70,,,토실이,Plumpy,Gordis,胖胖,托希
Monster_name_71,,,연꽃 개굴,Lotophage,Lotófago,莲蛙,蓮蛙
Monster_name_72,,,목도룡,Frilled-Neck Dragon,Dragón cuello de abanico,围脖蜥,圍巾龍
Monster_name_73,,,만세 토끼,Hurray Rabbit,Conejoalegre,万岁兔,萬歲兔
Monster_name_74,,,푸르릉,Purung,Purung,蓝蓝,璞樂鈴
Monster_name_75,,,먼지떨이,Duster,Plumero,拂尘,雞毛撢子
Monster_name_76,,,펭퀸,Penqueen,Penreina,企鹅皇后,企鵝女王
Monster_name_77,,,소림팬더,Shaolin Panda,Panda shaolin,少林熊猫,少林熊貓
Monster_name_78,,,이글이글,Blazy,Fogosín,怒鹰,烈鷹
Monster_name_79,,,날푸리,Nalpuri,Nalpuri,小蝇蝇,飛飛普里
Monster_name_80,,,검룡,Sword Dragon,Dragón espada,黑龙,劍龍
Monster_name_81,,,보라담기,Flowerpot,Macetero,紫宝,紫紫
Monster_name_82,,,삐뚜리,Crookid,Pecanalla,小歪,小歪歪
Monster_name_83,,,순돌프,Sundolf,Soldolf,乖道夫,乖道夫
Monster_name_84,,,쌍둥바위,Twin Rocks,Gemirocas,双生岩,雙胞岩
Monster_name_85,,,낙엽돌이,Fallen Leafy,Hojita caída,飘叶,落葉娃
Monster_name_86,,,어미부엉,Mother Owl,Mamabúho,母猫头鹰,貓頭鷹媽媽
Monster_name_87,,,서서냥,Standing Cat,Gato de pie,直立喵,直立喵
Monster_name_88,,,날개냥,Winged Cat,Gato alado,羽翼喵,翅膀喵
Monster_name_89,,,혹선인장,Lumpy Cactus,Cactus aterronado,包块仙人掌,瘤狀仙人掌
Monster_name_90,,,아루킹,Aruking,Arurrey,阿卢王,亞魯王
Monster_name_91,,,복마니,Lucki,Suertudín,福多多,多福
Monster_name_92,,,감돌이,Gamdol,Gamdol,小转转,旋朵利
Monster_name_93,,,씽씽벌,Buzzy Bee,Abeja zumbante,飞来蜂,咻咻蜂
Monster_name_94,,,무너무너,Octo,Octo,小章鱼,姆努姆努
Monster_name_95,,,바다털이,Sailorman,Marinero,海偷,海毛
Monster_name_96,,,가락국수,Thick Wheat Noodles,Fideos de trigo grueso,粗面条,粗麵
Monster_name_97,,,키드 자쿰,Kid Zakum,Zakum peque,小扎库穆,小炎魔
Monster_name_98,,,스컬 픽시,Skull Pixie,Pixie craneal,小骨费西,骷髏皮嘻
Monster_name_99,,,아기키위,Baby Kiwi,Kiwi bebé,奇异果果,小奇異果
Monster_name_100,,,화나냥,Angrycat,Gatoenojado,生气喵,怒喵喵
Monster_name_101,,,페페루,Peperu,Peperu,佩佩露,佩佩魯
Monster_name_102,,,레드 드래곤,Red Dragon,Dragón rojo,赤龙,紅龍
Monster_name_103,,,오우르스,Ourus,Ourus,奥鲁斯,奧烏勒斯
Monster_name_104,,,나오리,Naori,Naori,娜沃利,納歐里
Monster_name_105,,,발록,Balrog,Balrog,巴洛,巴洛古
Monster_name_106,,,롱플라워,Bloomkeeper,Guardaflores,长花,長花
Monster_name_107,,,쌍둥나무,Twin Trees,Árboles gemelos,双生树,雙桐樹木
Monster_name_108,,,퍼플 페리,Purple Peri,Peri morado,紫仙子,紫佩里
Monster_name_109,,,모예,Moye,Moye,莫耶,摩耶
Monster_name_110,,,무공,Mugong,Mugong,武公,武公
Monster_name_111,,,매직 피기,Magic Piggy,Cerdito mágico,魔法猪,魔法小豬
Monster_name_112,,,올맨 보스,Allman Boss,Jefe allman,全老大,老頭目
Monster_name_113,,,새악어,Crocobird,Avedrilo,鸟鳄,鳥鱷
Monster_name_114,,,로보,Robo,Robo,罗博,羅柏
Monster_name_115,,,이브,Eve,Eve,伊芙,依芙
Monster_name_116,,,미호,Miho,Miho,魅狐,美狐
Monster_name_117,,,녹룡이,Green Dragon,Dragón verde,碧龙,綠龍
Monster_name_118,,,신룡,Divine Dragon,Dragón divino,神龙,神龍
Monster_name_119,,,너굴너굴,Raccoon,Mapache,狸狸,狸狸貓
Monster_name_120,,,자쿰,Zakum,Zakum,扎库穆,殘暴炎魔
Monster_name_121,,,양철모자,Tin Hat,Sombrero de lata,铁帽子,鐵皮帽
Monster_name_122,,,제누스,Zenus,Zenus,泽努斯,傑努斯
Monster_name_123,,,불사조,Phoenix,Fénix,不死鸟,不死鳥
Monster_name_124,,,흑룡,Black Dragon,Dragón negro,玄龙,黑龍
Monster_name_125,,,잎새돌이,Leafy,Hojita,叶石,葉娃
Monster_name_126,,,멜빵 골렘,Suspender Golem,Gólem tirante,背带魔像,吊帶石巨人
Monster_name_127,,,샤크,Shark,Tiburón,鲨鲨,鯊魚
Monster_name_128,,,피리냥,Flutecat,Gatoflauta,笛喵,魔笛喵
Monster_name_129,,,삐지미,Sulky,Enojón,小气鬼,嗶吉米
Monster_name_130,,,두발 늑대,Bipedal Wolf,Lobo bípedo,双脚狼,雙腳狼
Monster_dsc_1,,,작고 포근하다. \n\n푸리가 지나간 자리에는 \n동그란 자국이 남는다. ,"Small and cozy.\n\nWherever Puri goes, a round mark is left.",Pequeño y agradable.\n\nPuri deja una marca redonda adondequiera que va.,小巧且暖乎乎的。\n\n只要是普利经过的地方\n都会留下圆圆的痕迹。 ,又小又溫暖。\n\n普里經過的地方\n都會留下圓圓的痕跡。
Monster_dsc_2,,,바다에서 태어난 작은 불가사리. \n\n자신은 하늘에서 떨어진 별똥별이라고 \n생각한다.,A small starfish born in the sea.\n\nThey think they're a shooting star that's fallen from the sky.,Una pequeña estrella de mar que nació en el océano.\n\nCree que es una estrella fugaz que cayó del cielo.,生在大海的小海星。\n\n自认为是一个从天上\n掉下来的流星。,在大海中出生的小海星。\n\n他認為自己是從天上\n墜落的流星。
Monster_dsc_3,,,시력이 나빠서 여기저기에 자주 부딪힌다. \n\n그래도 굴하지 않고 활기차게 뛰어다닌다. ,"Because of their poor eyesight, they frequently bump into things.\n\nThey don't really care though, and run around freely.","Debido a su poca capacidad visual, suele tropezarse con cualquier cosa.\n\nPero eso no le importa y corretea libremente.",视力很差，经常会磕磕碰碰。\n\n但意志坚强，充满活力。 ,視力不好，所以常常東撞西撞。\n\n但還是不屈服，充滿活力地到處跑。
Monster_dsc_4,,,나뭇잎 요정이다. \n\n평상시엔 나무 안에 몸을 감추고 있다가 \n아이들의 웃음소리가 들려오면 나타난다. ,"A leaf fairy. They normally hide in trees, but are drawn to the laughter of children.","Un hada foliácea. Suele esconderse entre los árboles, pero le atraen las risas de los niños.",它是一个树叶精灵。\n\n平常躲藏在大树里，\n等听到孩子们的欢声笑语会随之露面。 ,樹葉妖精。\n\n平常會躲在樹中，\n聽到孩子們的笑聲就會出現。
Monster_dsc_5,,,어린 불의 정령이다. \n너무 가까이 다가가는 것은 조심해야 한다.,"The hearts of these young fire spirits burn bright,\nand they love to be affectionate with people they like.\n\nUnfortunately, they often forget that most people they meet are flammable.","Los corazones de estos jóvenes espíritus ígneos brillan intensamente\ny adoran recibir afecto de las personas que les agradan.\n\nPor desgracia, a veces se les olvida que las personas que conocen no son inflamables.",年幼的火精灵。\n要小心防止过于靠近。,年幼的火精靈。\n必需要注意不要太靠近他。
