Key,Source,type,ko,Arguments,en,es,zh-cn,zh-tw
AchiDesc10009,"[업그레이드]에서 조리대, 진열대, 계산대의 레벨을 올려 보세요.",Default text,"[업그레이드]에서 조리대, 진열대, 계산대의 레벨을 올려 보세요.",,"Upgrade your Workstation, Display Stand, and Counter levels","Mejora tu estación de trabajo, puesto de exhibición y niveles de mostrador.",通过【升级】，提升烹饪台、货架和收银台的等级。,請在[升級]中，提升料理台、陳列架、收銀台的等級吧。
AchiDesc20003,[츄츄 모집]에서 직원을 모집해 보세요.,Default text,[츄츄 모집]에서 직원을 모집해 보세요.,,Go to Hire Chu Chus to hire staff.,Ve a Contratar Chu Chus para contratar personal.,在【招募啾啾】中招募员工。,在[招募啾啾]中，招募職員吧。
AchiDesc20001,매장과 츄츄를 성장시켜 더 많은 돈을 벌어 보세요.,Default text,매장과 츄츄를 성장시켜 더 많은 돈을 벌어 보세요.,,Upgrade the Restaurant and Chu Chus to earn more money.,Mejora el restaurante y los Chu Chus para ganar más dinero.,壮大店铺规模，培养啾啾，赚取更多枫币！,升級店面和啾啾，賺取更多錢吧。
AchiDesc20009,손님이 주문한 버거를 한 번에 서빙하면 별 5점 리뷰를 받기 쉬워요.,Default text,손님이 주문한 버거를 한 번에 서빙하면 별 5점 리뷰를 받기 쉬워요.,,Fill a customer's order in 1 try to increase your chance to get a 5-star review,Llena la orden de un cliente en 1 intento para aumentar tu oportunidad de obtener una reseña de 5 estrellas.,将顾客点的汉堡一次性服务到位时，更容易获得5星评分。,若能一次送上客人點購的漢堡，很容易就能獲得5星評價。
AchiDesc10011,[업그레이드]에서 매장을 확장해 보세요.,Default text,[업그레이드]에서 매장을 확장해 보세요.,,Expand the Building in the Upgrade menu.,Expande el edificio en el menú Mejoras.,请通过【升级】，尝试扩张店铺。,在[升級]中，擴建店面吧。
AchiDesc10012,[업그레이드]에서 새로운 인테리어를 구매해 보세요.,Default text,[업그레이드]에서 새로운 인테리어를 구매해 보세요.,,Change the Interior in the Upgrade menu.,Cambia el interior en el menú Mejoras.,请通过【升级】，购买新的室内装饰。,在[升級]中，購買新的裝潢吧。
AchiDesc10014,[업그레이드]에서 새로운 매장 시설을 설치해 보세요.,Default text,[업그레이드]에서 새로운 매장 시설을 설치해 보세요.,,Install new Facilities in the Upgrade menu.,Instala nuevas instalaciones en el menú Mejoras.,请通过【升级】，布置新的店铺设施。,在[升級]中，放置新的店面設施吧。
AchiDesc40002,[트럭 출장]에서 힌트를 통해 축제 장소를 찾아보세요!,Default text,[트럭 출장]에서 힌트를 통해 축제 장소를 찾아보세요!,,Go on a Truck Business Trip and get a hint to help you find the festival's location!,¡Realiza un viaje de negocios en camión y consigue una pista que te ayudará a encontrar la ubicación del festival!,请通过【货车出差】，根据提示寻找庆典场所！,在[餐車出差]中，透過提示找出慶典場所吧！
AchiDesc40003,"출장 사업 연구를 하고, 버거 판매왕 츄츄와 함께 출장을 떠나보세요!",Default text,"출장 사업 연구를 하고, 버거 판매왕 츄츄와 함께 출장을 떠나보세요!",,Conduct Business Trip Research and go on a Business Trip with a Burger Sales King Chu Chu!,¡Investiga el viaje de negocios y realízalo con un Chu Chu rey de la venta de hamburguesas!,进行出差业务研究，与汉堡销售王啾啾一起出差！,研究出差事業，和漢堡銷售王啾啾一起出差吧！
AchiDesc40005,[업그레이드]에서 스쿠터를 구매하고 츄츄에게 출장을 맡겨보세요.,Default text,[업그레이드]에서 스쿠터를 구매하고 츄츄에게 출장을 맡겨보세요.,,Purchase a Scooter in the Upgrade menu and send Chu Chus on Business Trips.,Compra una moto en el menú Mejoras y envía a los Chu Chus a viajes de negocios.,请通过【升级】，购买摩托车，让啾啾出差。,在[升級]中，購買機車，派啾啾去外送吧。
AchiDesc40006,"출장 사업 연구를 하고, 버거 판매왕 츄츄와 함께 출장을 떠나보세요!",Default text,"출장 사업 연구를 하고, 버거 판매왕 츄츄와 함께 출장을 떠나보세요!",,Conduct Business Trip Research and go on a Business Trip with a Burger Sales King Chu Chu!,¡Investiga el viaje de negocios y realízalo con un Chu Chu rey de la venta de hamburguesas!,进行出差业务研究，与汉堡销售王啾啾一起出差！,研究出差事業，和漢堡銷售王啾啾一起出差吧！
AchiDesc50001,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc50002,재료 카드를 얻어 [레시피 관리]에서 새로운 레시피를 만들어 보세요.,Default text,재료 카드를 얻어 [레시피 관리]에서 새로운 레시피를 만들어 보세요.,,Go to Manage Recipes to get Ingredient Cards and make a new Recipe.,Ve a Administrar recetas para conseguir cartas de ingredientes y crear una receta nueva.,获得材料卡片，在【菜谱管理】制作新的菜谱。,獲得材料卡，在[管理食譜]中創造出新食譜吧。
AchiDesc50008,[출장]과 [대회] 그리고 [재료 구독]을 통해 재료 상자를 얻을 수 있어요.,Default text,[출장]과 [대회] 그리고 [재료 구독]을 통해 재료 상자를 얻을 수 있어요.,,"Get Ingredient Boxes from Business Trips, Contests, and Ingredient Subscriptions","Obtén cofres de ingredientes de los viajes de negocios, concursos y suscripciones a ingredientes.",通过【出差】、【大赛】和【订阅材料】，可获得材料箱。,透過[出差]、[比賽]以及[訂閱材料]，可以獲得材料箱。
AchiDesc50009,[의뢰]에서 레시피 의뢰를 완료해 보세요.,Default text,[의뢰]에서 레시피 의뢰를 완료해 보세요.,,Go to Orders to complete Recipe Requests.,Ve a Pedidos para completar los pedidos de recetas.,请通过【委托】，完成菜谱委托。,在[委託]中完成食譜委託吧。
AchiDesc50010,재료 의뢰에 필요한 재료는 [출장]과 [대회]에서 얻을 수 있어요.,Default text,재료 의뢰에 필요한 재료는 [출장]과 [대회]에서 얻을 수 있어요.,,You can get the Ingredients you need to fulfill an Ingredient Order from Business Trips and Contests.,Puedes conseguir los ingredientes que necesitas para cumplirlos en Pedido de ingredientes en Viajes de negocios y Concursos.,委托材料所需的材料可以通过【出差】和【大赛】获得。,材料委託所需的材料可在[出差]及[比賽]中獲得。
AchiDesc20006,[대회]에서 대회에 참가해 우승의 영광을 누려 보세요.,Default text,[대회]에서 대회에 참가해 우승의 영광을 누려 보세요.,,Participate in the Contest and win.,Participa del concurso y gana.,在【大赛】中参加大赛，享受冠军带来的荣耀。,在[比賽]中，參加比賽享受勝利的榮耀吧。
AchiDesc90030,[의뢰]에서 레시피 의뢰 또는 재료 의뢰를 완료해 보세요.,Default text,[의뢰]에서 레시피 의뢰 또는 재료 의뢰를 완료해 보세요.,,Go to Orders to complete Recipe or Ingredient Requests.,Ve a Pedidos para completar los pedidos de recetas o ingredientes.,请通过【委托】，完成菜谱委托或材料委托。,在[委託]中完成食譜委託或材料委託吧。
AchiDesc95001,"[업그레이드]에서 조리대, 진열대, 계산대의 레벨을 올려 보세요.",Default text,"[업그레이드]에서 조리대, 진열대, 계산대의 레벨을 올려 보세요.",,"Go to Upgrades to raise Workstation, Display Stand, and Counter levels.","Ve a Mejoras para subir los niveles de la estación de trabajo, el puesto de exhibición o el mostrador.",请通过【升级】，提升烹饪台、货架和收银台的等级。,請在[升級]中，提升料理台、陳列架、收銀台的等級吧。
AchiDesc95002,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95003,평판과 츄츄들의 능력치가 중요해요. 츄츄들에게 의상을 선물하세요!,Default text,평판과 츄츄들의 능력치가 중요해요. 츄츄들에게 의상을 선물하세요!,,Reputation and Chu Chu stats are important. Give your Chu Chus Uniforms!,La reputación y los parámetros de los Chu Chus son importantes. ¡Dales uniformes a tus Chu Chus!,口碑和啾啾的能力值都很重要，给啾啾们赠送服装吧！,口碑和啾啾的能力值很重要。把衣服送給啾啾們當禮物吧！
AchiDesc95004,[대회]에 맛 점수가 높은 레시피를 출품해 우승해 보세요.,Default text,[대회]에 맛 점수가 높은 레시피를 출품해 우승해 보세요.,,Enter a Recipe with a high Taste Score in the Contest and win.,Ingresa una receta con alta puntuación de sabor en el concurso y gana.,在【大赛】上展示高味道分数的菜谱，夺得冠军。,在[比賽]中拿出美味分數高的食譜，贏得冠軍吧。
AchiDesc95005,"메뉴 세팅, 매장 확장과 인테리어를 통해 매장의 매력도를 높여 보세요.",Default text,"메뉴 세팅, 매장 확장과 인테리어를 통해 매장의 매력도를 높여 보세요.",,"Increase the Restaurant's Charm via Menu layout, Building expansions, and Interior Design.","Aumenta el encanto del restaurante mediante la configuración del menú, expansiones del edificio y diseño de interiores.",请通过菜单设定、店铺扩张和装修，提高店铺的魅力值。,透過菜單設定、擴建店面及裝潢提升店面的吸引力吧。
AchiDesc95006,[대회]에 레벨이 높은 츄츄를 출전시켜 우승해 보세요.,Default text,[대회]에 레벨이 높은 츄츄를 출전시켜 우승해 보세요.,,Enter a high-level Chu Chu in the Contest and win.,Anota a un Chu Chu de nivel alto al concurso y gana.,让高等级的啾啾参加【大赛】，夺得冠军。,派出等級高的啾啾參加[比賽]，贏得冠軍吧。
AchiDesc95007,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95008,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95009,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95010,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95011,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95012,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger.",Usa ingredientes de calidad para cocinar una hamburguesa deliciosa y equilibrada.,使用好材料，掌握平衡，做出美味汉堡！,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95013,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95014,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95015,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95016,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95017,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95018,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95019,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95020,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95021,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,Default text,좋은 재료를 쓰고 밸런스를 잘 맞춰 맛있는 버거를 만들어 보세요.,,"Use quality Ingredients to make a delicious, balanced Burger",Usa ingredientes de calidad para hacer una hamburguesa deliciosa y balanceada.,使用好材料，掌握平衡，做出美味汉堡。,使用優質的材料並調節平衡，製作出美味的漢堡吧。
AchiDesc95022,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu de puntuación de sabor de bonificación.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
AchiDesc95023,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu de puntuación de sabor de bonificación.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
AchiDesc95024,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu de bonificación de puntuación de sabor.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
AchiDesc95025,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu bonificación de de puntuación de sabor.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
AchiDesc95026,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu de bonificación de puntuación de sabor.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
AchiDesc95027,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,Default text,특별한 사이드 메뉴와 맛 점수 보너스 츄츄 스킬을 활용해서 최고의 버거를 만들어 보세요.,,Make the best burger using special Side Dishes and Taste Score Bonus Chu Chu Skills,Cocina la mejor hamburguesa usando guarniciones y habilidades Chu Chu de bonificación de puntuación de sabor.,利用特别的配菜和带有味道分数加成的啾啾技能，做出绝佳的汉堡。,請利用特別的配餐菜單和美味分數紅利加分的啾啾技能製作最棒的漢堡吧。
Cook,조리,Default text,조리,,Cooking,Cocinar,烹饪,料理
Serving,서빙,Default text,서빙,,Serving,Sirviendo,服务,服務
All,전체,Default text,전체,,All,Todo,全部,全部
MoveSpeed,이동속도,Default text,이동속도,,Move Speed,Velocidad de movimiento,移动速度,移動速度
Grill,조리대,Default text,조리대,,Workstation,Estación de trabajo,烹饪台,料理台
Display,진열대,Default text,진열대,,Display Stand,Puesto de exhibición,货架,陳列架
Counter,계산대,Default text,계산대,,Counter,Mostrador,收银台,收銀台
GrillDesc,츄츄가 버거를 만들 때 사용한다. ,Default text,츄츄가 버거를 만들 때 사용한다. ,,Used when a Chu Chu makes Burgers. ,Se usa cuando un Chu Chu prepara hamburguesas. ,在啾啾烹制汉堡时使用。 ,啾啾製作漢堡時使用。
DisplayDesc,츄츄가 만든 버거를 진열하거나 판매할 버거를 꺼낼 때 사용한다. ,Default text,츄츄가 만든 버거를 진열하거나 판매할 버거를 꺼낼 때 사용한다. ,,Used to display Burgers made by Chu Chus that are ready to sell. ,Se usa para exhibir las hamburguesas hechas por los Chu Chus que ya están listas para vender. ,在啾啾摆放已烹制的汉堡或销售汉堡时使用。 ,用於陳列啾啾製作的漢堡或取出販售的漢堡。
CounterDesc,츄츄가 주문을 받을 때 사용한다. ,Default text,츄츄가 주문을 받을 때 사용한다. ,,Used when a Chu Chu takes orders. ,Se usa cuando un Chu Chu recibe un pedido. ,在啾啾受理订单时使用。 ,啾啾接收訂單時使用。
GrillEffectDesc,버거 판매 가격,Default text,버거 판매 가격,,Burger Sale Price,Precio de venta de la hamburguesa,汉堡销售价格,漢堡販售價格
DisplayEffectDesc,진열 수량 ,Default text,진열 수량 ,,Displayed Quantity ,Cantidad en exhibición ,上架数量 ,陳列數量 
CounterEffectDesc,팁 획득량,Default text,팁 획득량,,Tip Gain,Ganancia de propinas,小费获得量,小費獲得量
CookSpeedEffectDesc,조리 속도,Default text,조리 속도,,Cooking Speed,Velocidad de cocina,烹饪速度,料理速度
CookCountEffectDesc,조리 개수,Default text,조리 개수,,Amount Cooked,Cantidad cocinada,烹饪数量,料理數量
ServingSpeedEffectDesc,주문 받는 속도,Default text,주문 받는 속도,,Order Taking Speed,Velocidad para recibir pedidos,受理订单的速度,接單速度
ServingCountEffectDesc,서빙 개수,Default text,서빙 개수,,Serving Count,Recuento de servicios entregados,服务数量,服務數量
TrendInfoPositive,{0}{0:hpp:이|가} 유행 중!,Default text,{0}{0:hpp:이|가} 유행 중!,,{0} is IN!,{0}¡Llegó!,正在流行{0}！,{0}{0}正在流行中！
TrendInfoNegative,{0}{0:hpp:은|는} 별로…,Default text,{0}{0:hpp:은|는} 별로…,,I don't really like {0}...,No me gusta mucho {0}...,{0}也就那样……,{0}{0}不怎麼樣…
Diary_Title,{0}의 다이어리,Default text,{0}의 다이어리,,{0}'s Diary,Diario de {0},{0}的日记,{0}的日記
Diary_Desc,콘서트 장에 리허설하러 갔다가 물건 몇 개를 두고 온 것 같다…\n\n,Default text,콘서트 장에 리허설하러 갔다가 물건 몇 개를 두고 온 것 같다…\n\n,,I think I left a few things behind when I went to rehearse at the concert hall...\n\n,Creo que olvidé algunas cosas cuando fui a ensayar al salón de conciertos...\n\n,去演唱会现场彩排的时候，好像落下了几个东西……\n\n,去演唱會場地彩排時，好像弄丟了幾個東西…\n\n
Diary_HintText,"나의 소중한 <color=#e58f3b>{0}</color>, <color=#e58f3b>{1}</color>, <color=#e58f3b>{2}</color> …",Default text,"나의 소중한 <color=#e58f3b>{0}</color>, <color=#e58f3b>{1}</color>, <color=#e58f3b>{2}</color> …",,"My precious <color=#e58f3b>{0}</color>, <color=#e58f3b>{1}</color>, and <color=#e58f3b>{2}</color>...","Mi adorable <color=#e58f3b>{0}</color>, <color=#e58f3b>{1}</color>, mi <color=#e58f3b>{2}</color>...",我宝贵的<color=#e58f3b>{0}</color>、<color=#e58f3b>{1}</color>和<color=#e58f3b>{2}</color>……,我珍貴的<color=#e58f3b>{0}</color>、<color=#e58f3b>{1}</color>、<color=#e58f3b>{2}</color>…
Interview_Title,{0}의 잡지 인터뷰,Default text,{0}의 잡지 인터뷰,,{0}'s Magazine Interview,Entrevista en revista de {0},{0}杂志专访,{0}的雜誌採訪
Interview_Desc,Q. 좋아하는 색깔이 뭔가요?\n\n,Default text,Q. 좋아하는 색깔이 뭔가요?\n\n,,Q. What is your favorite color?\n\n,P: ¿Cuál es tu color favorito?\n\n,Q. 喜欢的颜色是什么？\n\n,Q.你喜歡什麼顏色呢？\n\n
Interview_HintText,A. <color=#e58f3b>{0}</color>을 좋아해서 이 색깔의 물건들을 가지고 다녀요.,Default text,A. <color=#e58f3b>{0}</color>을 좋아해서 이 색깔의 물건들을 가지고 다녀요.,,"A. I like <color=#e58f3b>{0}</color>, which is why I carry around colorful items.","R: Me gusta el <color=#e58f3b>{0}</color>, por eso siempre llevo artículos coloridos encima.",A. 因为喜欢<color=#e58f3b>{0}</color>，所以随身携带这类颜色的东西。,A. 我喜歡<color=#e58f3b>{0}</color>，所以我會隨身攜帶這個顏色的物品。
Notice_Title,공사 안내문,Default text,공사 안내문,,Construction Notice,Aviso de construcción,施工通知,工程說明
Notice_Desc,<color=#e58f3b>{0}</color> 통행로 공사로 인해 방문객들의 통행을 금지합니다. \n,Default text,<color=#e58f3b>{0}</color> 통행로 공사로 인해 방문객들의 통행을 금지합니다. \n,,Visitor travel is limited due to the <color=#e58f3b>{0}</color> street construction.\n,El viaje de las visitas está limitado debido a la <color=#e58f3b>{0}</color>construcción de la calle.\n,由于<color=#e58f3b>{0}</color>通道施工，现禁止游客通行。\n,<color=#e58f3b>{0}</color>道路施工禁止遊客通行。\n
