Key,Source,Note,en,ko,es,zh-cn,zh-tw
HotTime,Hot Time,,Hot Time,핫타임,Temporada candente,快乐时光,Hot time
Guide,Game Guide,,Game Guide,게임 가이드,Guía del juego,游戏指南,遊戲指南
Control,Controls,,Controls,조작법,Controles,操作方法,操作方法
HowToPlay,How to Play,,How to Play,게임 방법,Cómo jugar,游戏方法,遊戲方式
GuideTalk_1,Please enter the booth.,,Please enter the booth.,부스에 입장하세요.,Ingresa a la cabina.,请进入准备位置。,請進入小房間。
GuideTalk_2,The game begins after both players enter the booth.,,The game begins after both players enter the booth.,모두 부스에 입장하면 조금 뒤 게임이 시작됩니다.,El juego comienza después de que ambos jugadores entren a la cabina.,所有玩家进入准备位置后，游戏开始。,當所有人都進入小房間，遊戲馬上就會開始。
GuideTalk_3,Begin by clicking on a card.,,Begin by clicking on a card.,카드를 눌러 보아요.,Comienza por hacer clic en una carta.,试试按下卡牌。,請點擊卡牌看看。
GuideTalk_4,"Here, you can see the card details.",,"Here, you can see the card details.",카드를 자세히 볼 수 있습니다.,Aquí puedes ver los detalles de la carta.,你可以详细查看卡牌。,可以詳細查看卡牌。
GuideTalk_5,Drag and drop the card above to play it.,,Drag and drop the card above to play it.,카드를 위로 끌어다 놓으면 카드를 사용할 수 있습니다.,Arrastra y suelta la carta de arriba para jugarla.,拖拽卡牌到上方时即可使用卡牌。,將卡牌拖曳至上方，即可使用卡牌。
GuideTalk_6,Both players take turns playing one card at a time.,,Both players take turns playing one card at a time.,카드를 서로 한 장씩 번갈아가며 냅니다.,Ambos jugadores se toman turnos jugando una carta a la vez.,轮流出一张卡牌。,互相輪流出一張牌。
GuideTalk_7,"Once you're done playing your cards, click on <b>End Round</b>.",,"Once you're done playing your cards, click on <b>End Round</b>.",더 이상 낼 카드가 없다면 <b>라운드 종료</b> 버튼을 누릅니다.,"Cuando termines de jugar tus cartas, haz clic en <b>Terminar la ronda</b>.",如果没有更多可以出的卡牌，按下<b>结束回合</b>按钮。,當沒有卡牌可出時，請點擊<b>回合結束</b>的按鈕。
GuideTalk_8,"* If your opponent ends their round first, you can continue to play as many cards as you like.",,"* If your opponent ends their round first, you can continue to play as many cards as you like.",※ 상대가 라운드를 종료했다면 원하는 만큼 카드를 계속 낼 수 있습니다.,"* Si tu oponente termina la ronda primero, puedes seguir jugando cuantas cartas quieras.",※ 对方结束回合后，你可以按需随意出牌。,※當對方結束回合後，你即可持續打出任意數量的卡牌。
GuideTalk_9,"After both players are done with a round, <b>Auto-Battle</b> begins!",,"After both players are done with a round, <b>Auto-Battle</b> begins!",둘 다 라운드를 종료하면 <b>자동 전투</b>가 벌어집니다!,"¡Cuando ambos jugadores terminen una ronda, empezará la <b>Batalla automática</b>!",双方结束回合后，展开<b>自动战斗</b>！,雙方都結束回合後，就會進行<b>自動戰鬥</b>！
GuideTalk_10,"* During Auto-Battle, minions fight each other, starting with the leftmost minion on each side.",,"* During Auto-Battle, minions fight each other, starting with the leftmost minion on each side.",※ 자동 전투가 벌어지면 맨 왼쪽에 있는 하수인끼리 계속해서 싸우게 됩니다.,"* Durante la Batalla automática, los secuaces luchan entre ellos, empezando por el del extremo izquierdo de cada lado.",※ 自动战斗开始后，双方最左侧的随从会一直打斗。,※若開始自動戰鬥，最左側的手下將會持續戰鬥。
GuideTalk_11,Any surviving minions will attack the other side's player.,,Any surviving minions will attack the other side's player.,마지막에 남은 하수인들은 플레이어를 직접 공격합니다.,Cualquier secuaz que sobreviva atacará al jugador del otro lado.,最后留下的所有随从直接攻击玩家。,留到最後的手下將會直接攻擊玩家。
GuideTalk_12,* Defeat the opposing player to win.,,* Defeat the opposing player to win.,※ 적 플레이어를 쓰러트리면 승리합니다.,* Derrota al jugador oponente para ganar.,※ 击败敌方玩家时获得胜利。,※擊倒敵方玩家即獲勝。
GuideTalk_13,"The next round begins, and you and your opponent repeat these steps until there is a winner.",,"The next round begins, and you and your opponent repeat these steps until there is a winner.",다음 라운드가 시작되어 지금까지의 과정이 반복됩니다.,"La próxima ronda comienza, y tú y tu oponente repiten estos pasos hasta que haya un ganador.",下一回合已开始，将重复目前为止的过程。,下一回合開始，重複到目前為止的過程。
Cost,Cost,,Cost,비용,Costo,费用,費用
CostDescription,- Amount of MP needed to play a card.,,- Amount of MP needed to play a card.,- 카드를 내는 데 필요한 MP 양 ,- Cantidad de PM necesarios para jugar una carta.,- 出卡牌所需的魔力值,- 出牌所需的MP值
Attack,ATK,,ATK,공격력,ATQ,攻击力,攻擊力
AttackDescription,- Damage dealt by the minion.,,- Damage dealt by the minion.,- 하수인이 주는 피해량,- Daño infligido por el secuaz.,- 随从造成的伤害量,- 手下造成的傷害量
HP,HP,,HP,HP,PV,血量,HP
HPDescription,- A minion's health.,,- A minion's health.,- 하수인의 체력,- Salud del secuaz.,- 随从的血量,- 手下的體力
MP,MP,,MP,MP,PM,魔力,MP
MPDescription,- It costs MP to play a card.\n- You gain <b>6</b> MP every round.\n- You can have up to <b>14</b> MP.\n<b>- Your unused MP rolls over into the following round.</b>,,- It costs MP to play a card.\n- You gain <b>6</b> MP every round.\n- You can have up to <b>14</b> MP.\n<b>- Your unused MP rolls over into the following round.</b>,- 카드를 내기 위한 비용\n- 매 라운드 <b>6</b> 얻음\n- 최대 <b>14</b> MP\n<b>- 라운드가 끝나도 사라지지 않고 누적</b>,- Gastarás PM para jugar cartas.\n- Obtienes <b>6</b> PM cada ronda.\n- Puedes acumular hasta <b>14</b> PM.\n<b>- Los PM sin usar pasarán a la siguiente ronda.</b>,- 出卡牌的费用\n- 每回合获得<b>6</b>点\n- 最多<b>14</b>点魔力\n<b>- 回合结束后也不会消失且一直累积</b>,- 打出卡牌的費用\n每回合獲得<b>6</b>點\n- 最大<b>14</b>MP\n<b>- 回合結束後不會消失，而會持續累積</b>
Minion,Minion,,Minion,하수인,Secuaz,随从,手下
MinionDescription,- You can play and <b>position</b>\nup to <b>6</b> minions.,,- You can play and <b>position</b>\nup to <b>6</b> minions.,- 최대 <b>6</b> 마리\n- <b>위치를 정해서 낼 수 있음</b>,- Puedes jugar y <b>posicionar</b>\nhasta <b>6</b> secuaces.,- 最多<b>6</b>只\n- <b>可以指定位置出牌</b>,- 最多<b>6</b>隻\n- <b>可以指定位置來打出</b>
CardDescription,- Up to <b>8</b> cards.\n- Comprised of minion and skill cards.,,- Up to <b>8</b> cards.\n- Comprised of minion and skill cards.,- 최대 <b>8</b> 장\n- 하수인 카드와 스킬 카드로 구분,- Hasta <b>8</b> cartas.\n- Compuestas de cartas de secuaces y habilidad.,- 最多<b>8</b>只\n- 分为随从卡牌和技能卡牌,- 最多<b>8</b>張\n- 分為手下卡牌和技能卡牌
DeckDescription,- Comprised of <b>20</b> cards.,,- Comprised of <b>20</b> cards.,- <b>20</b> 장의 카드로 구성,- Compuesto de <b>20</b> cartas.,- 由<b>20</b>张卡牌组成,- 由<b>20</b>張卡牌組成
FirstTurn,Priority,,Priority,라운드 선공,Prioridad,回合先攻,回合先攻權
FirstTurnDescription,- Priority is given to each player in alternating rounds.\n- The player with priority has a glittering orange background.,,- Priority is given to each player in alternating rounds.\n- The player with priority has a glittering orange background.,- 매 라운드 번갈아가며 잡음\n- 배경이 주황색으로 반짝이는지 여부로 확인 가능,- Se le da prioridad a cada jugador en rondas alternas.\n- El jugador con prioridad tiene un fondo naranja brillante.,- 每回合轮流获得机会\n- 确认方法为背景是否以橙色闪亮,- 每回合輪流拾取\n可透過背景是否閃爍橘光進行確認
Unable,You can't do that right now.,,You can't do that right now.,그건 지금 할 수 없어요.,No puedes hacer eso ahora.,我现在无法做那个。,現在無法做這件事。
DuelWillStartSoon,The duel will begin soon.,,The duel will begin soon.,듀얼이 곧 시작됩니다.,El duelo está por comenzar.,决斗即将开始。,決鬥即將開始。
TutorialTalk_1,Head into the booth.,,Head into the booth.,부스에 들어가세요!,Dirígete a la cabina.,请进入准备位置！,請進入小房間！
TutorialTalk_2,Start Duel!,,Start Duel!,듀얼 개시!,¡Que comience el duelo!,决斗开始！,決鬥開始！
TutorialTalk_3,"First, click on a card.",,"First, click on a card.",카드를 눌러 보세요.,"Primero, toca una carta.",请按下卡牌。,請點擊卡牌。
TutorialTalk_4,Drag and drop the card to play it.,,Drag and drop the card to play it.,카드를 위로 끌어다 놓아 보세요.,Arrastra y suelta la carta para jugarla.,试试拖拽卡牌至上方。,請將卡牌拖曳到上方。
TutorialTalk_5,Your turn ends after you play a card.,,Your turn ends after you play a card.,카드를 내면 턴이 넘어가요.,Tu turno terminará cuando juegues una carta.,出卡牌后会轮到对手回合。,出牌後，就會輪到對方。
TutorialTalk_6,Click <b>End Round</b>.,,Click <b>End Round</b>.,<b>라운드 종료</b> 버튼을 누르세요.,Toca en <b>Terminar la ronda</b>.,按下<b>结束回合</b>按钮。,請點擊<b>回合結束</b>按鈕。
TutorialTalk_7,"After both players end their round, <b>Auto-Battle</b> begins!",,"After both players end their round, <b>Auto-Battle</b> begins!",둘 다 라운드를 종료하면 <b>자동 전투</b>가 벌어져요.,"Cuando los dos jugadores terminen la ronda, ¡comenzará la <b>Batalla automática</b>!",双方结束回合后，展开<b>自动战斗</b>。,雙方都結束回合後，就會進行<b>自動戰鬥</b>。
TutorialTalk_8,"At the start of each round, you'll get <b><color=#1e90ff>6 MP</color></b>.",,"At the start of each round, you'll get <b><color=#1e90ff>6 MP</color></b>.",라운드가 시작되면 <b><color=#1e90ff>6 MP</color></b>를 얻어요.,"Al inicio de cada ronda, recibirás <b><color=#1e90ff>6 PM</color></b>.",回合开始时获得<b><color=#1e90ff>6点魔量</color></b>。,回合開始時，獲得<b><color=#1e90ff>6 MP</color></b>。
TutorialTalk_9,Each card has its own <b><color=#1e90ff>MP</color></b> cost to play.,,Each card has its own <b><color=#1e90ff>MP</color></b> cost to play.,카드를 내기 위해서는 <b><color=#1e90ff>MP</color></b>를 비용으로 지불해야 해요.,Cada carta tiene su único costo de <b><color=#1e90ff>PM</color></b> para jugar.,为了出卡牌，需要消耗<b><color=#1e90ff>魔力</color></b>作为费用。,出牌需要支付<b><color=#1e90ff>MP</color></b>作為費用。
TutorialTalk_10,Any <b><color=#1e90ff>MP</color></b> you don't spend <b>carries over into the next round</b>.,,Any <b><color=#1e90ff>MP</color></b> you don't spend <b>carries over into the next round</b>.,<b><color=#1e90ff>MP</color></b>는 라운드가 끝나도 사라지지 않고 <b>누적돼요</b>.,Los <b><color=#1e90ff>PM</color></b> que no gastes <b>se guardan para la siguiente ronda</b>.,<b><color=#1e90ff>魔力</color></b>在回合结束后也不会消失，且一直<b>累积</b>。,回合結束後<b><color=#1e90ff>MP</color></b>不會消失，<b>而會持續累積</b>。
TutorialTalk_11,You can set the position of your minions.,,You can set the position of your minions.,하수인은 위치를 정해서 낼 수 있어요.,Puedes elegir la posición de tus secuaces.,可以指定位置并召唤随从。,可以指定位置來打出手下。
TutorialTalk_12,"During Auto-Battle, minions will fight each other starting from the left.",,"During Auto-Battle, minions will fight each other starting from the left.","자동 전투가 벌어지면 맨 왼쪽에 있는 하수인끼리 계속 싸우고,","Durante la Batalla automática, los secuaces lucharán entre ellos, comenzando desde la izquierda.",自动战斗开始后，双方最左侧的随从会一直打斗。,若開始自動戰鬥，最左側的手下會持續戰鬥，
TutorialTalk_13,Any surviving minions will attack the other side's player.,,Any surviving minions will attack the other side's player.,마지막에 남은 하수인들은 플레이어를 직접 공격해요.,Cualquier secuaz que sobreviva atacará al jugador del otro lado.,最后留下的所有随从直接攻击玩家。,留到最後的手下會直接攻擊玩家。
TutorialTalk_14,Well done! Let's move on to the next lesson.,,Well done! Let's move on to the next lesson.,정말 잘하셨어요! 조금 더 배워볼까요?,¡Buen trabajo! Pasemos a la siguiente lección.,非常棒！下面来了解更多内容吧！,你做得太棒了！要不要再多學一點呢？
TutorialTalk_15,Head into the booth.,,Head into the booth.,부스에 들어가세요!,Dirígete a la cabina.,请进入准备位置！,請進入小房間！
TutorialTalk_16,Start Duel!,,Start Duel!,듀얼 개시!,¡Que comience el duelo!,决斗开始！,決鬥開始！
TutorialTalk_17,Click <b>End Round</b>.,,Click <b>End Round</b>.,<b>라운드 종료</b> 버튼을 누르세요.,Toca en <b>Terminar la ronda</b>.,按下<b>结束回合</b>按钮。,請點擊<b>回合結束</b>按鈕。
TutorialTalk_18,Sometimes you might want to end your round without playing any cards.,,Sometimes you might want to end your round without playing any cards.,아무것도 하지 않고 라운드를 종료해도 괜찮아요.,"A veces, puede que quieras finalizar tu ronda sin jugar cartas.",也可以什么都不做，直接结束回合。,也可以什麼都不做就結束回合。
TutorialTalk_19,"By saving up your cards and MP, you can set yourself up to make more powerful moves next round.",,"By saving up your cards and MP, you can set yourself up to make more powerful moves next round.",카드와 MP를 아끼면 다음 라운드에 힘을 실을 수 있어요.,"Al guardar tus cartas y PM, puedes prepararte para realizar movimientos más poderosos en la próxima ronda.",适当节省卡牌和魔力，能够为下一回合带来更多爆发力。,節省卡牌和MP，可以為下一回合積蓄力量。
TutorialTalk_20,"Keep in mind, however, that you can't have more than 14 MP.",,"Keep in mind, however, that you can't have more than 14 MP.",다만 최대 MP는 14니 주의하세요.,"Sin embargo, no olvides que no podrás acumular más de 14 PM.",但要注意，最大魔力值为14点。,但請注意，MP最大值是14。
TutorialTalk_21,Your background will sparkle orange when you have priority.,,Your background will sparkle orange when you have priority.,제 배경이 주황색으로 반짝거리는 건 라운드 선공이라는 표시에요.,Tu fondo brillará en un tono naranja cuando tengas prioridad.,我的背景处于橙色闪亮状态时，表示是回合先攻。,我方背景閃爍橘光，代表擁有回合先攻權。
TutorialTalk_22,The player with priority alternates every round.,,The player with priority alternates every round.,라운드 선공은 매 라운드 번갈아가며 잡게 돼요.,El jugador con prioridad se alternará cada ronda.,回合先攻机会在每回合轮流获得。,每回合會輪流取得回合先攻權。
TutorialTalk_23,"After your opponent ends their round, you can play as many cards as you'd like.",,"After your opponent ends their round, you can play as many cards as you'd like.",상대가 라운드를 종료했다면 카드를 계속해서 낼 수 있어요.,"Cuando tu oponente termine su ronda, puedes jugar todas las cartas que quieras.",等对方结束回合后，可以继续出牌。,當對方結束回合後，你即可持續出牌。
TutorialTalk_24,Go ahead and make all the plays you want.,,Go ahead and make all the plays you want.,이제 원하는 플레이를 마음껏 펼쳐보세요.,"Vamos, haz todas las jugadas que quieras.",然后再尽情挑战各式玩法吧。,現在，請盡情展開你想要的遊戲吧。
TutorialTalk_25,That was a fun match!,,That was a fun match!,즐거운 한 판이었어요.,¡Esa fue una partida divertida!,跟你决斗很愉快。,這是一場愉快的比賽。
TutorialTalk_26,This concludes the tutorial.,,This concludes the tutorial.,이것으로 튜토리얼은 끝이에요.,Esto finaliza el tutorial.,教程到此结束。,新手教學就到此結束了。
TutorialTalk_27,Now you can warm up with <b>Practice Mode</b>...,,Now you can warm up with <b>Practice Mode</b>...,"이제 <b>연습 모드</b>로 몸을 풀고,",Ahora puedes calentar con el <b>Modo de práctica</b>...,先通过<b>练习模式</b>热身，,現在，透過<b>練習模式</b>暖暖身，
TutorialTalk_28,...and then prove your skills with some <b>Ranked Matches</b>!,,...and then prove your skills with some <b>Ranked Matches</b>!,<b>랭크전</b>에서 실력을 증명하세요!,... ¡y probar tu habilidad con unas <b>Partidas clasificatorias</b>!,前往<b>排位战</b>证明你的实力！,並在<b>排位戰</b>中證明你的實力吧！
DoubleCheckFinishTutorial,Are you sure you want to quit the tutorial?,,Are you sure you want to quit the tutorial?,정말로 튜토리얼을 종료하시겠습니까?,¿Confirmas que quieres salir del tutorial?,确定要结束教程吗？,確定要結束教學嗎？
TutorialPartner,Tutorial Opponent,,Tutorial Opponent,튜토리얼 상대,Oponente del tutorial,教程对手,教學對象
Achieve,<color={0}>{1}</color> Achieved,,<color={0}>{1}</color> Achieved,<color={0}>{1}</color> 달성,Alcanzaste el rango <color={0}>{1}</color>,达成<color={0}>{1}</color>,<color={0}>{1}</color>達成
Daily,Daily,,Daily,일일,Diaria,每日,每日
Rank,Rank,,Rank,랭크,Rango,排位,排名
Ranking,Ranking,,Ranking,랭킹,Clasificación,排行榜,排名
Ria,Ria,,Ria,리아,Ria,莉娅,莉亞
NpcTalk_1,Welcome to Maple Duel!,,Welcome to Maple Duel!,메이플 듀얼에 온걸 환영해~,¡Te damos la bienvenida a Maple Duel!,欢迎来到冒险岛决斗～,歡迎來到楓之谷決鬥～
NpcTalk_2,Maple Duel is a card game that's fun for everyone!,,Maple Duel is a card game that's fun for everyone!,메이플 듀얼은 모두 함께 모여 즐기는 카드 게임이야!,¡Maple Duel es un divertido juego de cartas para todos!,《冒险岛决斗》是一款各路玩家欢聚一堂游玩的卡牌游戏！,楓之谷決鬥是一款大家聚在一起玩的卡牌遊戲！
NpcTalk_3,Click on Character to use emotes.,,Click on Character to use emotes.,내 캐릭터를 누르면 감정표현을 쓸 수 있어.,Toca Personaje para usar gestos.,点击我的角色即可使用表情。,點擊我的角色，可以使用情感表現。
NpcTalk_4,You can add another player as a friend by clicking on them.,,You can add another player as a friend by clicking on them.,다른 유저의 캐릭터를 누르면 친구로 추가할 수 있어.,Puedes agregar a otros jugadores a tu lista de amigos si haces clic en ellos.,点击其他玩家的角色即可添加为好友。,點擊其他玩家的角色，可以將其新增為好友。
NpcTalk_5,Remember to be kind to any new players you meet!,,Remember to be kind to any new players you meet!,새로운 유저에게는 언제나 친절하게 대해 줘야 해!,¡Recuerda tratar bien a los jugadores nuevos que conozcas!,记得要对新玩家始终抱以亲切的态度！,對待新玩家一定要始終保持友善！
NpcTalk_6,"We're working on building an Auction House, where you'll be able to trade cards with other players.",,"We're working on building an Auction House, where you'll be able to trade cards with other players.",다른 유저와 카드를 거래할 수 있는 경매장이 준비 중이야.,Estamos trabajando para crear una Casa de subastas donde podrás intercambiar cartas con otros jugadores.,可以和其他玩家交易卡牌的拍卖店还在维护中。,我們正在準備一個可以和其他玩家交易卡牌的拍賣場。
Notice,Notice,,Notice,공지사항,Aviso,公告事项,公告事項
Reward,Reward,,Reward,보상,Recompensa,奖励,獎勵
RewardReset,※ Daily rewards reset every day at 15:00 (UTC+0).,,※ Daily rewards reset every day at 15:00 (UTC+0).,※ 일일 보상은 매일 15시(UTC+0)에 초기화됩니다.,※ Las recompensas diarias se restablecen todos los días a las 15:00 (UTC+0).,※ 每日奖励将于每天15点（UTC+0）重置。,※ 每日獎勵將於每天23點(UTC+8)重置。
RankedPlayReward,Play {0} Rank Match(es),,Play {0} Rank Match(es),랭크전 {0}회 플레이,Juega {0} partida(s) clasificatoria(s),参加{0}次排位战,遊玩{0}次排位戰
RankedWinReward,Ranked Victory Reward,,Ranked Victory Reward,랭크전 승리 보상,Recompensa por victoria clasificatoria,排位战胜利奖励,排位戰勝利獎勵
PlayReward,Play Reward,,Play Reward,플레이 보상,Recompensa por jugar,游戏奖励,遊戲獎勵
ProbabilityInformation,Probability Info,,Probability Info,확률 정보,Info. de probabilidad,概率信息,機率資訊
RefundInformation,,,,,,,
YouAreBanned,You have been banned for the following reason:,,You have been banned for the following reason:,아래와 같은 사유로 제재합니다.,Fuiste bloqueado por la siguiente razón:,因以下原因采取制裁。,因下列事由遭到制裁。
OpenEvent_1,Claim by 12/12 (Thu) 11:59 PM,,Claim by 12/12 (Thu) 11:59 PM,12월 12일(목) 23:59까지 수령 가능,Reclámalo antes del 12/12 (jueves) 11:59 p. m.,12月12日（周四）23:59之前可以领取,領取期限至12月12日(四)23:59為止
OpenEvent_2,Claim by 12/19 (Thu) 11:59 PM,,Claim by 12/19 (Thu) 11:59 PM,12월 19일(목) 23:59까지 수령 가능,Reclámalo antes del 12/19 (jueves) 11:59 p. m.,12月19日（周四）23:59之前可以领取,領取期限至12月19日(四)23:59為止
OpenEvent_3,Claim by 12/26 (Thu) 11:59 PM,,Claim by 12/26 (Thu) 11:59 PM,12월 26일(목) 23:59까지 수령 가능,Reclámalo antes del 12/26 (jueves) 11:59 p. m.,12月26日（周四）23:59之前可以领取,領取期限至12月26日(四)23:59為止
NotEventPeriod,The event isn't active right now.,,The event isn't active right now.,이벤트 기간이 아닙니다.,Este evento no está activo en este momento.,现在不是活动时间。,目前不是活動期間。
Free,Free,,Free,무료,Gratis,免费,免費
TimesLeft, left,, left,회 남음,izquierda,还剩{0}次,剩餘次數
NotPossibleWhileMatching,Unavailable while searching for an opponent.,,Unavailable while searching for an opponent.,상대를 찾는 중에는 할 수 없습니다.,No disponible mientras buscas oponentes.,正在寻找对手时无法操作。,尋找對手的過程中無法使用。
