Id,RowIndex,ParentPageId,ContentType,OrderIndex,GuideContentTextKey,VlookupGuideContentTextKey
GC000011,11,GP01,Title,11,GP01_11TextKey,츄츄를 성장 시키세요!
GC000012,12,GP01,Desc,12,GP01_12TextKey,"츄츄를 성장시켜서 손님들에게 최고의 서비스를 제공해 보세요! \n주방에서 일하는 조리 츄츄와 계산대에서 일하는 서빙 츄츄는 능력치가 높을수록 일을 더 잘하게 돼요! \n츄츄의 역량이 바로 가게의 월 매출을 결정한다고 해도 과언이 아니죠! \n\n매장에서 일하는 츄츄가 힘들어하고 있다면? \n<color=#e77e18>EXP 결정</color>으로 <color=#e77e18>츄츄의 레벨</color>을 올려주세요! \n츄츄에게 <color=#e77e18>의상</color>을 선물하면, 더 귀여운 츄츄로 변신하고, 이동 속도도 상승해요! \n츄츄와 함께 더 멋진 가게를 경영하세요!"
GC000013,13,GP02,Title,1,GP02_1TextKey,경영 등급 상승으로 가게가 번창해요!
GC000014,14,GP02,Desc,2,GP02_2TextKey,"<color=#e77e18>경영 등급</color>이 오를수록 가게의 인지도가 높아지고, 그만큼 더 많은 손님들이 찾아옵니다. 자연스럽게 매출도 상승하게 되죠! \n하지만 번창한 가게일수록 <color=#129ccf>손님들이 기대하는 수준</color>도 더 높아질 거예요. 이를 만족시키기 위해서는 더 넓은 매장, 세련된 인테리어, 더 맛있는 버거 레시피, 그리고 높은 능력치를 가진 츄츄들이 필요합니다. \n<color=#e77e18>츄슐랭 등급</color>이 상승할수록 가게의 로열티도 올라가며, <color=#e77e18>버거의 판매 가격</color>이 상승하는 보너스 효과도 기대할 수 있어요. 매장의 성장에 따라 버거 판매 가격도 점차 더 높은 가치를 인정받게 됩니다!"
GC000015,15,GP02,Title,3,GP02_3TextKey,매장 업그레이드로 더 효율적이고 매력적인 가게를 만들어 보세요!
GC000016,16,GP02,Desc,4,GP02_4TextKey,"• <color=#e77e18>매장 확장</color> : 매장의 크기가 좁으면 가구 설치에 제한이 있지만, 매장을 확장하면 더 많은 <color=#e77e18>가구</color>를 설치할 수 있어요! 가구를 추가하면 더 많은 <color=#e77e18>츄츄</color>를 배치할 수 있어, 매장을 더 효율적으로 운영할 수 있습니다. 또한, 넓은 매장은 더 많은 손님이 입장할 수 있을 뿐 아니라 손님들이 더 편리하게 줄 서서 주문할 수 있어서 가게의 <color=#e77e18>매력</color>을 높이기도 해요. \n• <color=#e77e18>매장 인테리어</color> : 매장 인테리어를 업그레이드하면 손님들에게 <color=#e77e18>매력</color>적으로 다가갈 수 있어요. 더 많은 손님을 끌어들이고 싶다면, 인테리어를 바꿔보세요! \n• <color=#e77e18>매장 시설</color> : 실내 및 실외 소품과 설비를 업그레이드하는 것 역시 매장의 <color=#e77e18>매력</color>을 높이는 중요한 요소입니다."
GC000017,17,GP02,Title,5,GP02_5TextKey,매장 운영에 필요한 유지비
GC000018,18,GP02,Desc,6,GP02_6TextKey,"매달 매장 운영에 필요한 <color=#e77e18>고정 지출 비용</color>이 발생합니다. \n지출 비용은 하루 단위로 책정되며, 매장이 커지고, 시설이 많아질수록 <color=#e77e18>유지비</color>도 상승하게 되죠. 츄츄가 늘어나고 레벨이 높아질수록 <color=#e77e18>츄츄 월급</color>도 증가하니, 직원 관리도 중요한 부분이에요. \n또한, <color=#e77e18>지역의 특징</color>에 따라 물가가 높거나 임금 수준이 높을 수 있어, 이 또한 경영에 영향을 미칩니다. \n\n매달 말일에 지출이 발생하는데, 이때 잔고가 부족하면 <color=#e77e18>적자 경영</color>에 빠질 수 있습니다. 적자가 나면 츄츄들이 불안해할 수 있어 가게 운영에 악영향을 미칠 수 있어요. 적자가 계속되면 사장님에게 실망한 츄츄는 <color=#e77e18>퇴사</color>할지도 몰라요. 경영난이 지속되지 않도록 주의해야 합니다. \n따라서, 지출을 잘 관리하고 적정 수익을 올리는 것이 경영 성공의 열쇠입니다. "
GC000019,19,GP02,Title,7,GP02_7TextKey,팁 박스
GC000020,20,GP02,Desc,8,GP02_8TextKey,"매장에서 버거를 구매한 손님들이 팁으로 <color=#e77e18>하트</color>를 줍니다. \n가게가 번창할수록 손님들이 주는 팁도 많아집니다. \n\n팁 박스가 설치되어 있으면, 손님들이 팁을 자연스럽게 <color=#e77e18>팁 박스</color>에 넣어줍니다. 팁 박스가 가득 차지만 않았다면 말이죠! \n만약 팁 박스가 금방 가득 차버린다면, 팁 박스 확장 업그레이드를 통해 용량을 늘려보세요. "
GC000021,21,GP03,Title,1,GP03_1TextKey,츄츄란?
GC000022,22,GP03,Desc,2,GP03_2TextKey,츄츄 아일랜드에서 발견된 작은 생명체들이에요. 츄츄를 처음 발견한 건 츄츄 빌리지의 족장 리옹이라고 해요. 리옹은 섬의 이름을 따서 그들을 츄츄라고 부르기로 했대요. 츄츄 아일랜드의 다른 존재들처럼 기억은 없지만 저마다 꿈이 있고 행복을 좇아 하루하루를 열심히 살아가죠! \n작고 귀여운 이 친구들은 하나같이 부지런하고 알뜰한 면이 있어 다양한 업종의 사장님들이 직원으로 채용하는 것에 관심을 보이고 있어요.
GC000023,23,GP03,Title,3,GP03_3TextKey,츄츄의 전문 분야
GC000024,24,GP03,Desc,4,GP03_4TextKey,"츄츄들은 각자의 전문 분야에 따라 매장에서 적절한 역할을 맡아요. \n• <color=#e77e18>조리</color> 전문 츄츄: 조리 츄츄는 <color=#e77e18>주방</color>에만 배치할 수 있으며, 주방의 조리대에서 버거를 만듭니다. 버거를 완성되면 진열대에 저장하고, 손님들이 주문할 때를 대비해 미리 준비합니다. \n• <color=#e77e18>서빙</color> 전문 츄츄: 서빙 츄츄는 <color=#e77e18>계산대</color>에만 배치할 수 있고, 계산대에서 손님들의 주문을 받습니다. 손님이 주문한 버거는 진열대에서 가져와 신속하게 손님에게 전달하는 역할을 합니다."
GC000025,25,GP03,Title,5,GP03_5TextKey,츄츄의 성장
GC000026,26,GP03,Desc,6,GP03_6TextKey,"츄츄는 <color=#e77e18>레벨업</color>을 통해 성장할 수 있고, <color=#e77e18>한계돌파</color>를 통해 더 높은 레벨로 발전할 수 있습니다. 또한, <color=#e77e18>의상</color>을 입히고 의상을 <color=#e77e18>강화</color>하여 능력을 추가로 향상시킬 수 있어요. \n• 레벨업 : 츄츄에게 EXP 결정을 주입해서 레벨을 올릴 수 있습니다. 처음 계약 이후 10레벨 이상 성장하려면 한계돌파가 필요합니다. \n• 한계돌파 : 한계돌파를 통해 레벨 상한을 높일 수 있고, <color=#e77e18>30레벨</color>에 2차 한계돌파를 통해 <color=#e77e18>2차 스킬</color>을 해방할 수 있습니다. \n• 의상: 의상은 구매 후 강화할 수 있으며, 의상 강화는 <color=#e77e18>스킬 등급</color>을 높이는 효과를 가지고 있습니다. 또한, 새로운 지역으로 이동해도 의상은 계속 유지됩니다. \n츄츄의 상세 정보에 돋보기 아이콘이 보이시나요? 돋보기 아이콘을 터치하면 도감으로 연결됩니다!"
GC000027,27,GP03,Title,7,GP03_7TextKey,츄츄의 레벨업
GC000028,28,GP03,Desc,8,GP03_8TextKey,츄츄에게 EXP 결정을 주입해서 스탯 레벨을 올릴 수 있어요. 스탯의 종류별로 EXP 결정도 달라진다는 점을 기억하세요! \n• 조리 전문 츄츄에게는 <color=#e77e18>조리 EXP 결정</color>이 필요해요. \n• 서빙 전문 츄츄에게는 <color=#e77e18>서빙 EXP 결정</color>이 필요해요. \n\n츄츄의 레벨을 올리면 일을 더 잘하게 되요! \n• 조리 츄츄의 레벨을 올리면 조리 속도가 빨라지고 한 번에 더 많은 버거를 만들 수 있어요. \n• 서빙 츄츄의 레벨을 올리면 주문 받는 속도가 빨라지고 한 번에 더 많은 버거를 옮길 수 있어요.
GC000029,29,GP03,Title,9,GP03_9TextKey,츄츄의 한계돌파
GC000030,30,GP03,Desc,10,GP03_10TextKey,"모집을 통해 츄츄를 영입했을 때 츄츄의 시작 레벨은 지역의 특성과 모집 횟수에 따라 점점 높아져요. 하지만 계약 후에 더 높은 레벨로 성장시키기 위해서는 <color=#e77e18>한계돌파</color>가 필요해요. \n특히, <color=#e77e18>30레벨</color>에서 2차 한계돌파를 통해 <color=#e77e18>2차 스킬</color>을 해방할 수 있습니다. \n\n• <color=#e77e18>1차</color> 한계돌파 : 레벨 10 도달 시 가능하며, <color=#e77e18>최대 레벨이 30</color>으로 해방됩니다. \n• <color=#e77e18>2차</color> 한계돌파 : 레벨 30 도달 시 가능하며, <color=#e77e18>최대 레벨이 50</color>으로 해방됩니다. \n• <color=#e77e18>3차</color> 한계돌파 : 레벨 50 도달 시 가능하며, <color=#e77e18>최대 레벨이 70</color>으로 해방됩니다. \n\n한계돌파에는 <color=#e77e18>메달, 하트, 돈</color>이 필요합니다.  \n• 조리 츄츄의 한계돌파에는 <color=#e77e18>조리의 메달</color>이 필요해요. \n• 서빙 츄츄의 한계돌파에는 <color=#e77e18>서빙의 메달</color>이 필요해요."
GC000031,31,GP03,Title,11,GP03_11TextKey,츄츄의 스킬
GC000032,32,GP03,Desc,12,GP03_12TextKey,"츄츄는 <color=#e77e18>한계돌파</color>를 통해 새로운 스킬을 <color=#e77e18>해방</color>시킬 수 있습니다. \n• 1차 스킬: 1레벨 부터 사용할 수 있습니다. \n• 2차 스킬: 30레벨에서 2차 한계돌파(최대 레벨 50)에 성공하면 해방됩니다. \n\n츄츄에게 선물한 <color=#e77e18>의상을 강화</color>하면 <color=#e77e18>스킬 등급</color>이 상승합니다. \n스킬 등급이 상승하면 해당 스킬의 효과가 강화되어, 더욱 뛰어난 츄츄의 능력을 경험할 수 있을거예요! \n\n츄츄가 가진 스킬 종류에 대한 정보는 츄츄 성장 가이드를 참고해 주세요. \n스킬 등급별 효과에 대한 상세한 정보는 츄츄 도감의 츄츄 의상 가이드를 참고해 주세요."
GC000033,33,GP03,Title,13,GP03_13TextKey,지역에서 만날 수 있는 츄츄
GC000034,34,GP03,Desc,14,GP03_14TextKey,"<color=#e77e18>모든 지역</color>에서 만날 수 있는 츄츄도 있지만, <color=#e77e18>특정 지역</color>에서만 만날 수 있는 특별한 츄츄들도 있어요! \n <color=#e77e18>지역 모집</color>을 통해 새로운 츄츄와 계약하고 지역 도감을 완성해 보세요!"
GC000035,35,GP03,Title,15,GP03_15TextKey,츄츄의 월급
GC000036,36,GP03,Desc,16,GP03_16TextKey,"츄츄는 매달 월급을 받고 열심히 일합니다. 츄츄의 능력치가 높아질수록 월급도 자연스럽게 상승합니다. \n• 한계돌파를 할 때마다, <color=#e77e18>레벨 당 월급</color>이 상승합니다.  \n• 츄츄의 월급은 <color=#e77e18>(레벨 당 월급)X(레벨)</color>로 예상할 수 있습니다. \n• 실제 월급 금액은 한 달을 30일로 가정하고, <color=#e77e18>일 단위</color>로 계산해서 일 한 만큼 월 말에 한 번에 지급합니다. \n\n능력치가 높은 츄츄와 많은 수의 츄츄와 계약을 유지하려면, 그만큼 금전적인 여유가 필요합니다. 또한, 츄츄의 임금은 지역의 특징에 따라 달라질 수 있습니다. "
GC000037,37,GP03,Title,17,GP03_17TextKey,츄츄의 이적
GC000038,38,GP03,Desc,18,GP03_18TextKey,"성장시킨 츄츄는 이적시킬 수 있어요! 츄츄를 다른 일자리에 소개하면, 성장시키는데 사용한 재화를 <color=#e77e18>대부분</color> 돌려받을 수 있습니다. \n• EXP는 하트로 가치를 환산해서 받을 수 있습니다. \n• 한계돌파에 사용한 메달도 모두 회수할 수 있습니다. \n• 단, 계약금과 지불한 월급은 돌려받을 수 없으니 참고하세요. \n\n언젠가 츄츄를 떠나보내야 하는 순간이 올 수 있지만, 너무 슬퍼하지 마세요! \n이적한 츄츄는 언젠가 다시 모집을 통해 만날 수 있을 거예요."
GC000039,39,GP03,Title,19,GP03_19TextKey,츄츄의 퇴사
GC000040,40,GP03,Desc,20,GP03_20TextKey,"이 작고 귀여운 생명체들은 성실하지만 한편으로 소심한 성격을 가지고 있어요. 월 정산 기록에서 <color=#e77e18>적자</color>가 발생하면 매장에서 일하는 츄츄들이 <color=#e77e18>불안</color>을 느끼기 시작한답니다. \n월 정산 기록에서 적자가 발생하면, 매장에서 일하는 츄츄들이 점차 불안해하고, 마이너스 재정이 계속되면 결국 <color=#e77e18>퇴사</color>를 결심하기도 해요. 안정된 직장과 더 나은 삶을 찾기 위해 다른 일자리를 찾아 떠날 수 있죠. \n츄츄들이 불안해하지 않도록, 매장을 안정적으로 경영하고 지출과 수익을 잘 관리해 주세요. 그렇게 하면 츄츄들이 더 오래 행복하게 매장에서 일하며, 가게도 번창할 거예요! "
GC000041,41,GP04,Title,1,GP04_1TextKey,츄츄의 전문 분야
GC000042,42,GP04,Desc,2,GP04_2TextKey,"츄츄들은 각자의 전문 분야에 따라 매장에서 적절한 역할을 맡아요. \n• <color=#e77e18>조리 전문 츄츄</color> : 조리 츄츄는 주방에만 배치할 수 있으며, 주방의 조리대에서 버거를 만듭니다. 버거를 완성되면 진열대에 저장하고, 손님들이 주문할 때를 대비해 미리 준비합니다.  \n• <color=#e77e18>서빙 전문 츄츄</color> : 서빙 츄츄는 계산대에만 배치할 수 있고, 계산대에서 손님들의 주문을 받습니다. 손님이 주문한 버거는 진열대에서 가져와 신속하게 손님에게 전달하는 역할을 합니다."
GC000043,43,GP04,Title,3,GP04_3TextKey,츄츄의 레벨업
GC000044,44,GP04,Desc,4,GP04_4TextKey,모집을 통해 츄츄를 영입했을 때 츄츄의 시작 레벨은 지역의 특성과 모집 횟수에 따라 점점 높아져요. 하지만 가게가 번창하기 위해서는 더 높은 능력치를 가진 직원들이 필요해요. 츄츄에게 <color=#e77e18>EXP 결정</color>을 주입해서 레벨을 올릴 수 있어요. \n조리/서빙 분야별로 EXP 결정도 달라진다는 점을 기억하세요! \n• 조리 전문 츄츄에게는 <color=#e77e18>조리 EXP 결정</color>이 필요해요. \n• 서빙 전문 츄츄에게는 <color=#e77e18>서빙 EXP 결정</color>이 필요해요. \n\n츄츄의 레벨을 올리면 일을 더 잘하게 되요! \n• 조리 츄츄의 레벨을 올리면 조리 속도가 빨라지고 한 번에 더 많은 버거를 만들 수 있어요. \n• 서빙 츄츄의 레벨을 올리면 주문 받는 속도가 빨라지고 한 번에 더 많은 버거를 옮길 수 있어요.
GC000045,45,GP04,Title,5,GP04_5TextKey,EXP 결정은 어디에서 얻나요?
GC000046,46,GP04,Desc,6,GP04_6TextKey,"EXP 결정은 <color=#129ccf>출장</color>보상으로 얻을 수 있고, <color=#129ccf>하트</color>를 사용해 상점에서 구매할 수 있어요. \n\nEXP 결정이 부족하다면, 츄츄의 출장 전용 스킬, <color=#e77e18>조리/서빙 결정 수색대원</color> 스킬을 활용해 보세요! \n이 스킬을 잘 활용하면 출장 중에 더 많은 EXP 결정을 획득할 수 있어, 레벨업에 필요한 EXP를 한층 더 빨리 모을 수 있어요. \n\n경영 전략 효과를 활용하는 것도 좋은 방법입니다. \n• <color=#e77e18>직원 서비스 교육</color> : 직원 서비스 교육을 통해 츄츄들의 서비스 만족도를 높일 수 있습니다. 만족한 손님들은 <color=#e77e18>더 많은 팁</color>을 주게 되니, 하트로 EXP 결정을 더 많이 구매할 수 있어요. \n• <color=#e77e18>직원 워크샵</color> : 정기적인 직원 워크샵을 통해 츄츄들의 레벨업에 필요한 EXP 필요량을 줄일 수 있어요. 워크샵을 꾸준히 진행하면, 보다 <color=#e77e18>더 적은 EXP</color> 양으로 레벨업을 할 수 있어 더 효율적인 매장 운영이 가능하답니다."
GC000047,47,GP04,Title,7,GP04_7TextKey,츄츄의 이동 속도
GC000048,48,GP04,Desc,8,GP04_8TextKey,"조리 츄츄와 서빙 츄츄 모두 이동 속도가 높으면 더 빠르게 움직일 수 있어요! 이는 매장 운영의 효율성을 높이고, 더 많은 손님을 빠르게 응대할 수 있게 해줍니다. 츄츄의 이동 속도는 여러가지 방법으로 올릴 수 있어요. \n\n• 모든 츄츄의 기본 이동 속도는 <color=#e77e18>0.6</color>입니다. \n• <color=#e77e18>의상</color>을 입은 츄츄의 이동 속도는 <color=#e77e18>+0.4</color> 상승합니다. \n  의상을 강화하면 더 높은 이동 속도를 얻을 수 있죠! \n\n• 츄츄의 <color=#e77e18>한계돌파</color>를 하면 이동 속도가 <color=#e77e18>+0.2씩</color> 상승합니다. \n  한계를 돌파할 때마다 점점 더 빨라지는 츄츄의 모습을 기대해 보세요. \n• 츄츄 도감의 <color=#e77e18>세트 수집</color> 단계를 달성하면 해당 세트에 속한 츄츄의 이동 속도는 <color=#e77e18>+0.1씩</color> 상승합니다. \n  세트를 완성하면 이동 속도를 더욱 빠르게 만들 수 있습니다. \n• 모집 가능한 지역과 츄츄가 배치된 <color=#e77e18>지역</color>이 동일하면 이동 속도가 <color=#e77e18>+0.2</color> 상승합니다. \n  단, 어느 지역에서나 모집 가능한 지역 공통 츄츄는 이 효과를 받지 않습니다."
GC000049,49,GP04,Title,9,GP04_9TextKey,츄츄의 한계돌파
GC000050,50,GP04,Desc,10,GP04_10TextKey,"모집을 통해 츄츄를 영입했을 때 츄츄의 시작 레벨은 지역의 특성과 모집 횟수에 따라 점점 높아져요. 하지만 계약 후에 더 높은 레벨로 성장시키기 위해서는 <color=#e77e18>한계돌파</color>가 필요해요. \n특히, <color=#e77e18>30레벨</color>에서 2차 한계돌파를 통해 <color=#e77e18>2차 스킬</color>을 해방할 수 있습니다. \n\n• <color=#e77e18>1차</color> 한계돌파 : 레벨 10 도달 시 가능하며, <color=#e77e18>최대 레벨이 30</color>으로 해방됩니다. \n• <color=#e77e18>2차</color> 한계돌파 : 레벨 30 도달 시 가능하며, <color=#e77e18>최대 레벨이 50</color>으로 해방됩니다. \n• <color=#e77e18>3차</color> 한계돌파 : 레벨 50 도달 시 가능하며, <color=#e77e18>최대 레벨이 70</color>으로 해방됩니다. \n\n한계돌파에는 <color=#e77e18>메달, 하트, 돈</color>이 필요합니다.  \n• 조리 츄츄의 한계돌파에는 <color=#e77e18>조리의 메달</color>이 필요해요. \n• 서빙 츄츄의 한계돌파에는 <color=#e77e18>서빙의 메달</color>이 필요해요."
GC000051,51,GP04,Title,11,GP04_11TextKey,메달은 어디에서 얻죠?
GC000052,52,GP04,Desc,12,GP04_12TextKey,"직원 대회에서 우승하면 메달을 보상으로 받을 수 있습니다. 대회에서 좋은 성적을 거두면 메달을 획득할 수 있는 기회가 주어지니, 직원 대회에 적극 참여해 보세요! \n메달은 상점에서 클로버를 사용하여 구매할 수도 있습니다. \n그 외 업적 보상으로도 소량 획득할 수 있습니다."
GC000053,53,GP04,Title,13,GP04_13TextKey,츄츄의 스킬
GC000054,54,GP04,Desc,14,GP04_14TextKey,"츄츄는 <color=#e77e18>한계돌파</color>를 통해 새로운 스킬을 <color=#e77e18>해방</color>시킬 수 있습니다. \n• 1차 스킬: 1차 한계돌파(최대 레벨 30)에 도달하면 해방됩니다. \n• 2차 스킬: 2차 한계돌파(최대 레벨 50)에 도달하면 해방됩니다. \n\n츄츄에게 선물한 <color=#e77e18>의상을 강화</color>하면 <color=#e77e18>스킬 등급</color>이 상승합니다. \n스킬 등급이 상승하면 해당 스킬의 효과가 강화되어, 더욱 뛰어난 츄츄의 능력을 경험할 수 있을거예요! \n스킬 등급별 효과에 대한 상세한 정보는 츄츄 도감의 츄츄 의상 가이드를 참고해 주세요."
GC000055,55,GP04,Title,15,GP04_15TextKey,1차 스킬 - 출장 스킬
GC000056,56,GP04,Desc,16,GP04_16TextKey,"• <color=#e77e18>버거 판매왕</color> : 출장에서 돈 수익이 늘어나요. \n• <color=#e77e18>조리 결정 수색대원</color> : 출장에서 조리 EXP 결정을 더 많이 획득해요. \n• <color=#e77e18>서빙 결정 수색대원</color> : 출장에서 서빙 EXP 결정을 더 많이 획득해요. \n• <color=#e77e18>클로버 수집가</color> : 출장에서 클로버를 더 많이 획득해요. \n\n""조리/서빙 결정 수색대원"" 스킬은 획득하는 결정의 개수가 늘어나는 효과입니다. \n출장에서 획득하는 조리/서빙 EXP 결정은 경영 등급에 따라 더 높은 등급의 결정을 얻을 수 있어요. EXP 결정 단계가 상승하면 결정 1개의 용량이 대폭 상승합니다!"
GC000057,57,GP04,Title,17,GP04_17TextKey,1차 스킬 - 레시피 스킬
GC000058,58,GP04,Desc,18,GP04_18TextKey,• <color=#e77e18>고기 버거 전문가</color> : #고기 버거를 더 맛있게 만들어줘요. (맛 점수 상승) \n• <color=#e77e18>채소 버거 전문가</color> :  #채소 버거를 더 맛있게 만들어줘요. (맛 점수 상승) \n• <color=#e77e18>치킨 버거 전문가</color> :  #치킨 버거를 더 맛있게 만들어줘요. (맛 점수 상승) \n• <color=#e77e18>해산물 버거 전문가</color> :  #해산물 버거를 더 맛있게 만들어줘요. (맛 점수 상승) \n• <color=#e77e18>매움 버거 전문가</color> :  #매움 버거를 더 맛있게 만들어줘요. (맛 점수 상승) \n• 매운 맛 중독 : 제작한 버거에 매움 포인트를 올려줘요.
GC000059,59,GP04,Title,19,GP04_19TextKey,2차 스킬 - 매장 스킬 
GC000060,60,GP04,Desc,20,GP04_20TextKey,• <color=#e77e18>천하장사</color> : 계산대에서 일할 때 한 번에 들고 이동할 수 있는 버거의 개수가 더 늘어나요. \n• <color=#e77e18>퀵 오더</color> : 계산대에서 일할 때 주문 받는 속도(초당 작업량)가 더 빨라져요. 손님이 주문하는 버거의 수량이 늘어날수록 서빙 작업량이 많아져요. \n• <color=#e77e18>멀티테스킹</color> : 주방에서 일할 때 한 번에 만들 수 있는 버거의 개수가 늘어나요. \n• <color=#e77e18>조리 달인</color> : 주방에서 일할 때 버거를 만드는 속도(초당 작업량)가 더 빨라져요. 매장에서 판매하는 레시피의 맛등급이 높을수록 조리 작업량이 많아져요.
GC000061,61,GP05,Title,1,GP05_1TextKey,츄츄를 추가하려면?
GC000062,62,GP05,Desc,2,GP05_2TextKey,"츄츄를 추가로 고용하려면 가구를 추가로 설치해야 합니다. \n• <color=#e77e18>조리</color> 츄츄는 빈 <color=#e77e18>조리대</color> 가구에 배치할 수 있습니다. \n• <color=#e77e18>서빙</color> 츄츄는 빈 <color=#e77e18>계산대</color> 가구에 배치할 수 있습니다. \n\n가구를 추가하려면 업그레이드 메뉴의 가구 탭에서 원하는 가구를 설치할 수 있어요. 가구를 설치하면 츄츄를 배치할 수 있는 슬롯이 열려, 더 많은 츄츄를 배치하고 매장을 효율적으로 운영할 수 있습니다."
GC000063,63,GP05,Title,3,GP05_3TextKey,가구를 추가하려면?
GC000064,64,GP05,Desc,4,GP05_4TextKey,매장의 크기가 좁으면 가구를 설치할 자리가 한정되어 있어서 츄츄를 더 많이 배치하기 어려워요. \n하지만 매장 크기를 확장하면 가구를 더 많이 설치할 수 있게 되고 그만큼 더 많은 츄츄를 배치할 수 있습니다.
GC000065,65,GP05,Title,5,GP05_5TextKey,츄츄의 성장
GC000066,66,GP05,Desc,6,GP05_6TextKey,"츄츄는 <color=#e77e18>레벨업</color>을 통해 성장할 수 있고, <color=#e77e18>한계돌파</color>를 통해 더 높은 레벨로 발전할 수 있습니다. 또한, <color=#e77e18>의상</color>을 입히고 의상을 <color=#e77e18>강화</color>하여 능력을 추가로 향상시킬 수 있어요. \n• 레벨업 : 츄츄에게 EXP 결정을 주입해서 레벨을 올릴 수 있습니다. 처음 계약 이후 10레벨 이상 성장하려면 한계돌파가 필요합니다. \n• 한계돌파 : 한계돌파를 통해 레벨 상한을 높일 수 있고, <color=#e77e18>30레벨</color>에 2차 한계돌파를 통해 <color=#e77e18>2차 스킬</color>을 해방할 수 있습니다. \n• 의상: 의상은 구매 후 강화할 수 있으며, 의상 강화는 <color=#e77e18>스킬 등급</color>을 높이는 효과를 가지고 있습니다. 또한, 새로운 지역으로 이동해도 의상은 계속 유지됩니다. \n츄츄의 상세 정보에 돋보기 아이콘이 보이시나요? 돋보기 아이콘을 터치하면 도감으로 연결됩니다!"
GC000067,67,GP05,Title,7,GP05_7TextKey,조리 츄츄의 능력
